lon,lat,d_20230101,d_20230115,d_20230129,d_20230212,d_20230226,d_20230312,d_20230326,d_20230409,d_20230423,d_20230507,d_20230521,d_20230604,d_20230618,d_20230702,d_20230716,d_20230730,d_20230813,d_20230827,d_20230910,d_20230924,d_20231008,d_20231022,d_20231105,d_20231119,d_20231203,d_20231217,d_20231231,d_20240114,d_20240128,d_20240211,d_20240225,d_20240310,d_20240324
4.91791,52.33192,0.6613223856908854,0.323712284619028,0.7920973662368858,0.5459649351622655,0.46032069693749533,0.8945888226164238,0.6646286883330719,0.845480419913105,0.3366248580856549,0.851171414848186,0.48508285026786013,0.15244185772055985,0.723058324162247,0.5070535771999526,0.12837199245181297,0.2874038511708521,0.8979196423655783,0.8503255818539901,0.8785667430236871,0.13946528455054563,0.9151924132138145,0.5337889888201383,0.8880917896674343,0.34360784009095313,0.48487072607371096,0.35026347466124685,0.76179772762009,0.7923104701380356,0.9136872806325468,0.47469924051018353,0.9509817026318844,0.44897062647385677,0.532129128222299
4.91676,52.33168,0.8394577226398562,0.9577111936092364,0.2080008704565789,0.0011343022344491027,0.16435135592807204,0.4887791321741978,0.4424925094567933,0.029190511725529777,0.16576912369915864,0.8107886680817175,0.9434428028009264,0.007552756038788799,0.35682979059892916,0.2339619024371219,0.34818525115157284,0.7670049328734507,0.34946806450583634,0.19534306965901072,0.8168721329370487,0.03745007823489044,0.6351952086036095,0.3065626284844474,0.21983748441285944,0.9823536915287221,0.6961683768388588,0.8213487827100165,0.21937111654651975,0.3747117245987929,0.9371314409781533,0.5141700836041022,0.6151975833171631,0.284904221652442,0.5242461796943096
4.91761,52.3319,0.9926555931533401,0.6227580079718669,0.76027589096324,0.03422751279863445,0.4268237404591443,0.9202968031326589,0.5212611635362225,0.9838275799124188,0.24506696055135235,0.7759995886901765,0.7464379762561837,0.26685432952592036,0.8181826471675712,0.9446306995354673,0.18359402305050132,0.7922685522957926,0.6894141082298098,0.6427799310633913,0.026610280820479892,0.21780576204444846,0.6520734444541365,0.5423905145606146,0.2799679841107935,0.2899941767486902,0.10572372159919285,0.8677987420685681,0.03781000443658533,0.8650810898885325,0.03646671709529825,0.7018383005161123,0.9174713247585321,0.2048213089672224,0.5609554571061409
4.91678,52.33161,0.9941137152852823,0.058202779188613274,0.8335433471927696,0.5381604407846622,0.010196087941483412,0.12120054018471793,0.8288243192162236,0.20379505597613157,0.37954852935268524,0.5120604505257761,0.10262007115143967,0.7470171469430614,0.5077725969066117,0.8410546135796967,0.23225139522763305,0.3645158261086425,0.267396664306655,0.4977252423986581,0.3194241423778006,0.9757132768139332,0.9790281435308069,0.5802606383303126,0.5363912638581968,0.6871193945761345,0.6321572328691868,0.6087730088285136,0.6233967479894565,0.27488565472586757,0.4430208193181808,0.4568278558562996,0.38025569902139555,0.48690989994024625,0.8674356587332523
4.91656,52.33166,0.29720727649248413,0.16661592019451943,0.6544941473368141,0.18563792883735486,0.3051416329580019,0.300705627106033,0.8302455075900985,0.4382079903353113,0.9248429504240788,0.24305988889476093,0.5547544861756228,0.038514667675300096,0.25199231863026805,0.008121389036299886,0.2477869020552329,0.7466154713716746,0.0752950124636248,0.4967817555383537,0.9287905247757963,0.5478949242647067,0.08794581904194887,0.6040194227612209,0.6837803988062948,0.8805901625007242,0.5419357698308288,0.9370109243298196,0.4158376832731727,0.6679788318065738,0.1818441206706113,0.39685387434015784,0.42527690807922447,0.011692266933583606,0.9034244150402684
4.91741,52.33192,0.24600270470098096,0.3190292625384745,0.12958627953529311,0.9413021337327572,0.3694481825744621,0.4487780588936877,0.3130448636061919,0.927893628510867,0.10009786527577602,0.11944550673863596,0.060480459695033684,0.8314170789533981,0.5040240698125188,0.47452565901328037,0.36711791003889127,0.0781082311985174,0.8846552353557533,0.7642005807513327,0.42618536540051943,0.9636005649427338,0.497242649143428,0.24095227107819583,0.0005360958958902096,0.5292596486546128,0.5534980933540292,0.4169675341509974,0.12913476604854146,0.008157124570753349,0.0066844435999653395,0.9786907246529812,0.17134324898845366,0.00048346357510442584,0.7297356706080008
4.91728,52.33179,0.6336933746222378,0.4503734793252743,0.09205158039066863,0.4153157145464005,0.6055227785207369,0.10376578481880616,0.7681539850599851,0.6219058654322078,0.17168850242403277,0.41420665409387414,0.3753924354735604,0.38328008918406176,0.9152289126363492,0.3301740156691939,0.8415819805295353,0.7613744002746801,0.5397927757274665,0.08039896449260586,0.7157162552771739,0.16526463380512213,0.11604711828220005,0.8883772011636979,0.14227460043931284,0.5933319095037397,0.7059670610306262,0.6868036293842169,0.5193241335180164,0.354782645101821,0.5567303785200644,0.3400528697347971,0.2903847752551866,0.1625849348439684,0.09322032230795907
4.91741,52.3319,0.875380149695306,0.7148757321763046,0.5978348233978039,0.6158047895512697,0.7996497515108362,0.12040480841987045,0.3881574811992473,0.9172380610780937,0.022225884557627307,0.9243472564226103,0.2156638596407774,0.790135199836292,0.41394678086841186,0.49153072458408753,0.515079142031646,0.0010816369806433412,0.07567713162278922,0.6423994366963707,0.9251264966293763,0.26023203234821324,0.1647163061768434,0.23963798451214102,0.46311917512534717,0.18370289738594436,0.09642177668246499,0.5650001495964153,0.4557471587191969,0.4874688512241093,0.7425140401394175,0.4108360049719403,0.1366653051000456,0.8040731264960286,0.9340959880851712
4.91694,52.33165,0.4074426564665874,0.0963848755074399,0.3676879964362426,0.6927495028250027,0.23168125833447317,0.4706621372140537,0.2730416972959896,0.612892539719875,0.8726116373481095,0.13309218862833383,0.12904932727609553,0.05595489544469712,0.7847418548426263,0.17483225450267026,0.4139469841244041,0.7405237589241935,0.5798466671430769,0.1995340699185585,0.5303650315951214,0.4874222137361769,0.7377203221489781,0.06356446580591191,0.3460637806015412,0.9635160386662427,0.608390266108745,0.7867253487956175,0.3024037930711193,0.8353043001962063,0.6131324057404448,0.9391454018551992,0.6078861031820667,0.00319953031589415,0.9993210338685775
4.91702,52.33179,0.7715277110850167,0.5364365494033663,0.29332846876715646,0.5640797734249341,0.04717943329442731,0.1371776021202239,0.5335072084540311,0.9142446815703359,0.28335973047298824,0.9455075333098991,0.9554622016139327,0.592863301641883,0.22134428105898585,0.6123105940398327,0.6426928168437676,0.8156296543273569,0.5546200887205239,0.6417541787575803,0.7908987037932963,0.5004136215458539,0.05563031202082491,0.2377279884497291,0.545042978352004,0.924854223864551,0.9988949996091737,0.46214617922721,0.5034077645894716,0.2955262121517761,0.6623160682093254,0.7982002922479943,0.697278061487143,0.06345617659829073,0.7906634419113936
