lat,lon,d_20230115,d_20230129,d_20230212,d_20230226,d_20230312,d_20230326,d_20230409,d_20230423,d_20230507,d_20230521,d_20230604,d_20230618,d_20230702,d_20230716,d_20230730,d_20230813,d_20230827,d_20230910,d_20230924,d_20231008,d_20231022,d_20231105,d_20231119,d_20231203,d_20231217,d_20231231,d_20240114,d_20240128,d_20240211,d_20240225,d_20240310,d_20240324
52.33211,4.91789,0.20685608656947008,0.6081147252537983,0.4443580285015146,0.32698363056632107,0.560876829428519,0.46214463556969576,0.6799754250350215,0.15153777596917173,0.11943388699945523,0.12045824497885549,0.4522963069384508,0.9885837524660692,0.49421044634659905,0.9864432202340953,0.5965825170557009,0.734198046781885,0.1837079603506414,0.006220801311090485,0.02949202168451459,0.8824508692569694,0.07567241953288861,0.945573961401217,0.4320012811509759,0.7223678908777479,0.9727363153146013,0.14887113212038383,0.49912032431626074,0.46446124796498556,0.5255261064708183,0.6182291624916679,0.4566179900364935,0.9833855673484946
52.3318,4.91701,0.9584336232087362,0.972805410803262,0.8753183459438367,0.15795606178022492,0.3068512134002378,0.8120356302505337,0.3769460346699003,0.9328211808442667,0.255022302676466,0.45740045438310195,0.24822420729539152,0.986068864997575,0.11289472841364978,0.4534644946300731,0.817136881610167,0.4596952961454275,0.08520647431666595,0.6929901960022024,0.342599779578607,0.026788579824187697,0.1152478045008033,0.19974874479473115,0.8617554609839702,0.7970351058021125,0.9938275749250689,0.8534858816791704,0.03330844993145865,0.8201136554160536,0.9208478843018937,0.8923726866051868,0.1524558439066136,0.8356169506916024
52.33166,4.91697,0.245933926566677,0.089966050745373,0.2013014525449801,0.0820637260277659,0.9564563871104057,0.6907054258821909,0.19968881406040928,0.05590349987541454,0.7821526146421776,0.7559828099961341,0.3111156534808729,0.14184257175371318,0.20093176719044514,0.9172973635340874,0.6610473699985915,0.8317083390139899,0.04774583867957016,0.9059852299187876,0.48188590265841025,0.5508892391355772,0.4322484219091123,0.278005968522431,0.16920758200338926,0.23816421625895012,0.9943121184524485,0.6224217909434646,0.8402046790209245,0.03514233869538819,0.4649249547607628,0.32593605363827605,0.20622253483245268,0.7051375891629357
52.33178,4.91707,0.8842951891004773,0.7700487187228546,0.2519784456602766,0.8585638569758482,0.37266699728567343,0.13829810590130487,0.6692071862178322,0.9123760694477111,0.4983449308261868,0.7295332355223983,0.7708123313362115,0.2888112201663733,0.8285016971860003,0.5766433514479772,0.5226655202861396,0.6689535621978738,0.20326895630025632,0.37495516095108616,0.5866418173374518,0.5789187131444569,0.5396538934875001,0.1826490482385873,0.0586386689947499,0.5280710817854857,0.6372585812047808,0.5128499188949981,0.3129064076989849,0.5319317237349355,0.9522249060037828,0.06159060072838907,0.5243063299254236,0.4079056817851897
52.33178,4.91707,0.03985860263949126,0.05516813872676862,0.2698301034579278,0.5574092349944244,0.7060684514976511,0.05162704122990669,0.9931211439193198,0.08120822200922984,0.4242091209459148,0.14786760913798846,0.3242305091975257,0.8633322134125806,0.3332615547551432,0.4725797395498984,0.14257409517108843,0.7097229621031851,0.933319610893063,0.7845140701327643,0.36858597288162154,0.10373852047837429,0.6053160414489146,0.8863656953558673,0.10622352023138648,0.4140903705838863,0.4266877670407092,0.16760029522425424,0.6682783125883648,0.6870749553754388,0.1893102461041578,0.5167732164974755,0.7542281817192775,0.19251018097374262
52.33186,4.9172,0.41118149043633656,0.6985183478495821,0.531178042664346,0.743779569645803,0.8387177567825354,0.07566769519334349,0.7441229106319228,0.8595639767140085,0.6054271020845725,0.2980536219253236,0.37505693137378915,0.004279923065715008,0.30239718265112003,0.1219238681822521,0.7820359648818352,0.31008150190370587,0.7889604193843144,0.27028349352792835,0.19157915033957607,0.19398686328280923,0.04334545154481384,0.23501954141537884,0.5686224426478557,0.9740540397815037,0.5992314123838404,0.5890881970303437,0.7657050776591592,0.31864139760999943,0.8585097588030243,0.18175440399219833,0.03839707860380659,0.520013859778964
52.33203,4.91796,0.006758184481086116,0.42398090580401915,0.020501231913224838,0.89718859167147,0.9516696602837291,0.9997006610602828,0.7662278797208656,0.6568239298858443,0.4112631998243199,0.3365327684726247,0.48111050019626045,0.933817685659992,0.37955918539967126,0.014544896327093992,0.4817679132307289,0.5930338394681542,0.023008827513647634,0.014956945549452483,0.2037945660506254,0.6029522138053446,0.8592468842920251,0.08091711229852261,0.9634426711885871,0.5454933278334128,0.6807314584860894,0.11636113012701421,0.9363169172630506,0.6999915588230531,0.14062383652492538,0.5314191475661768,0.808646954476523,0.9707566789767609
52.33169,4.91708,0.19849915410606778,0.15496325970809155,0.775407067376701,0.08262373204860451,0.9217827471696133,0.6526396467952832,0.37752189500854705,0.78788683237747,0.610294879460453,0.2628958649633947,0.8538910164768173,0.5336151011034446,0.018845283650757216,0.162276378367034,0.5669919302531559,0.2969755640692374,0.856843839758475,0.9074259371891743,0.4100789150884907,0.1687142375800338,0.29589696701485124,0.5930574453561297,0.3136367352052103,0.6514186029192232,0.4758464097681405,0.7653939805530855,0.02364627180135237,0.015705062274912418,0.1557316988618782,0.020616787900834432,0.1290677169541169,0.10872779062974458
52.33207,4.9178,0.34000761081890996,0.18321485368561263,0.048154793240139604,0.8349821634267077,0.19464213268261177,0.2683939688201812,0.3486600594672171,0.7961069002486836,0.9120185724826968,0.31999572006439825,0.9452773192499371,0.3867112221496646,0.25634570160294345,0.9397935203772383,0.5211772191293491,0.22805836113633426,0.35367150413424864,0.31380265840696886,0.24557071832105293,0.4838623595389223,0.25125637321723904,0.7360735342810489,0.8880404120025267,0.21119310708423278,0.37679378054976365,0.1254955180584404,0.5321449369773178,0.37467448697080163,0.4090218590177864,0.03198662237534722,0.4258364272223073,0.9163088326943338
52.33175,4.91711,0.3694058256917879,0.535800676097622,0.5869450131925935,0.6181334885714357,0.08161386573719154,0.989109685783319,0.23497968383966383,0.9569234291307755,0.755850902621817,0.825537089751303,0.5474920180263764,0.6587117682155913,0.18187328021233895,0.9924595759640217,0.11134261620022434,0.16422370374008044,0.12485804666914069,0.31248092421635787,0.2557528898160655,0.3382335035088714,0.5942433553003938,0.9711197074971262,0.1055010607194431,0.8356398918241645,0.8978386553531228,0.43680362798819217,0.05732113158540553,0.14277792893187102,0.7106797526827565,0.3312365174528916,0.9064297247322676,0.567075457028425
